epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2617,1.28568,2.34674,1.0674,0.49736,0.65499,0.55144,0.40401,1.03061,2.25848,0.95856,0.000989011,0.000989011,0.068022
2,54.1292,1.05047,1.29731,0.98052,0.5921,0.77964,0.70752,0.48963,0.97161,1.09634,0.9603,0.0019644,0.0019644,0.035664
3,72.3244,1.00179,1.16822,0.96814,0.71447,0.76627,0.78744,0.57134,0.83841,1.05036,0.92796,0.00291503,0.00291503,0.00328133
4,90.5661,0.92366,1.02348,0.95039,0.71617,0.76649,0.80127,0.61517,0.75726,0.99978,0.89541,0.00288863,0.00288863,0.00288863
5,109.176,0.88314,0.96162,0.928,0.74385,0.80557,0.84406,0.64916,0.74869,0.92009,0.88671,0.0028515,0.0028515,0.0028515
6,127.599,0.8293,0.88148,0.9158,0.76532,0.80416,0.83176,0.67017,0.63156,0.80431,0.84614,0.00281438,0.00281438,0.00281438
7,145.556,0.81354,0.84807,0.91226,0.81775,0.82706,0.90222,0.70719,0.70744,0.77522,0.88174,0.00277725,0.00277725,0.00277725
8,163.56,0.78175,0.83497,0.90833,0.82326,0.84137,0.88265,0.70503,0.65403,0.7805,0.85554,0.00274012,0.00274012,0.00274012
9,181.534,0.73354,0.76965,0.88659,0.86954,0.87245,0.92477,0.76924,0.57185,0.64669,0.83032,0.002703,0.002703,0.002703
10,199.554,0.71329,0.74626,0.88502,0.89732,0.87421,0.93157,0.79501,0.55333,0.5827,0.8305,0.00266587,0.00266587,0.00266587
11,218.428,0.73063,0.72551,0.88085,0.88131,0.86831,0.93836,0.78008,0.58852,0.63522,0.8401,0.00262875,0.00262875,0.00262875
12,237.61,0.70801,0.72684,0.87965,0.90643,0.85972,0.91851,0.76401,0.56501,0.60602,0.84177,0.00259163,0.00259163,0.00259163
13,256.935,0.69802,0.71081,0.87336,0.91101,0.88092,0.93722,0.79614,0.54569,0.56013,0.83074,0.0025545,0.0025545,0.0025545
14,275.979,0.67826,0.67714,0.87815,0.83207,0.84538,0.89995,0.76611,0.53891,0.6393,0.82291,0.00251738,0.00251738,0.00251738
15,294.994,0.67107,0.65874,0.8703,0.91665,0.89111,0.9498,0.81992,0.51499,0.54033,0.81665,0.00248025,0.00248025,0.00248025
16,314.035,0.66344,0.65604,0.86443,0.88777,0.91508,0.93516,0.79236,0.53196,0.55547,0.82653,0.00244312,0.00244312,0.00244312
17,332.971,0.65861,0.65093,0.86928,0.91499,0.87671,0.94278,0.81825,0.50766,0.5501,0.83015,0.002406,0.002406,0.002406
18,352.011,0.63368,0.62398,0.86123,0.88731,0.91144,0.94773,0.8238,0.49776,0.51913,0.81627,0.00236888,0.00236888,0.00236888
19,371.147,0.61467,0.59706,0.85827,0.90896,0.92132,0.95428,0.83545,0.46604,0.50606,0.81479,0.00233175,0.00233175,0.00233175
20,390.273,0.61097,0.59703,0.85732,0.92798,0.92311,0.95766,0.82726,0.5163,0.48698,0.82793,0.00229462,0.00229462,0.00229462
21,409.244,0.61764,0.5845,0.85664,0.90635,0.91711,0.95396,0.84645,0.45224,0.47835,0.8076,0.0022575,0.0022575,0.0022575
22,428.287,0.60391,0.56638,0.85715,0.93159,0.91104,0.95475,0.84323,0.47525,0.47712,0.81758,0.00222038,0.00222038,0.00222038
23,447.276,0.60358,0.57285,0.85564,0.90055,0.90188,0.94673,0.83918,0.4466,0.50041,0.81094,0.00218325,0.00218325,0.00218325
24,466.281,0.5881,0.56151,0.84796,0.92377,0.927,0.96047,0.85693,0.44253,0.45704,0.80962,0.00214613,0.00214613,0.00214613
25,485.27,0.58417,0.54933,0.8488,0.92811,0.90314,0.94535,0.84174,0.42908,0.48784,0.80688,0.002109,0.002109,0.002109
26,504.207,0.58124,0.53677,0.84835,0.95021,0.92194,0.9634,0.86975,0.42179,0.42387,0.80054,0.00207188,0.00207188,0.00207188
27,523.149,0.58695,0.54442,0.85066,0.91315,0.90233,0.95219,0.83825,0.48151,0.49494,0.81914,0.00203475,0.00203475,0.00203475
28,542.174,0.55347,0.51787,0.84681,0.94499,0.92977,0.96125,0.88168,0.37813,0.42702,0.7962,0.00199762,0.00199762,0.00199762
29,561.185,0.54658,0.52157,0.84355,0.9356,0.89705,0.95408,0.85703,0.4258,0.46982,0.80472,0.0019605,0.0019605,0.0019605
