epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8761,1.28568,2.34674,1.0674,0.49736,0.65499,0.55144,0.40401,1.03061,2.25848,0.95856,0.000989011,0.000989011,0.068022
2,41.7022,1.05811,1.30019,0.9832,0.53326,0.73291,0.62563,0.40768,1.12515,1.23831,1.03639,0.00196663,0.00196663,0.0356663
3,61.0034,1.00344,1.16663,0.9687,0.60123,0.7463,0.73719,0.52174,0.90913,1.25654,0.92195,0.00292176,0.00292176,0.00328806
4,79.8451,0.90337,1.02713,0.94348,0.68762,0.74964,0.7999,0.62018,0.74431,1.05698,0.8911,0.00289875,0.00289875,0.00289875
5,98.5966,0.88799,0.97592,0.93228,0.71305,0.77359,0.7993,0.64023,0.71032,0.96339,0.87739,0.002865,0.002865,0.002865
6,117.101,0.83367,0.89442,0.91861,0.74508,0.77112,0.81653,0.65367,0.68684,0.85025,0.86455,0.00283125,0.00283125,0.00283125
7,135.807,0.79492,0.85667,0.90789,0.84683,0.82749,0.86713,0.69139,0.67719,0.76891,0.86925,0.0027975,0.0027975,0.0027975
8,154.195,0.78832,0.83197,0.91261,0.84753,0.8632,0.90587,0.73943,0.64415,0.72233,0.86029,0.00276375,0.00276375,0.00276375
9,172.68,0.75069,0.77353,0.89295,0.82164,0.85055,0.90805,0.76069,0.56621,0.72105,0.82881,0.00273,0.00273,0.00273
10,191.169,0.71605,0.74436,0.88458,0.89194,0.85203,0.91765,0.76835,0.57789,0.60718,0.83991,0.00269625,0.00269625,0.00269625
11,209.588,0.72247,0.72253,0.87892,0.85953,0.85827,0.93297,0.75754,0.64448,0.67635,0.86364,0.0026625,0.0026625,0.0026625
12,228.024,0.70311,0.71897,0.87869,0.90618,0.88687,0.94678,0.81163,0.52203,0.54486,0.82317,0.00262875,0.00262875,0.00262875
13,246.653,0.69082,0.68993,0.87257,0.86983,0.88608,0.94823,0.81566,0.52633,0.59137,0.81911,0.002595,0.002595,0.002595
14,265.119,0.67434,0.6813,0.87504,0.8726,0.86207,0.90712,0.77997,0.50281,0.60726,0.81528,0.00256125,0.00256125,0.00256125
15,283.65,0.66835,0.64654,0.86987,0.92175,0.89236,0.94641,0.81268,0.51421,0.54749,0.82247,0.0025275,0.0025275,0.0025275
16,302.121,0.66417,0.66438,0.86573,0.87701,0.87786,0.92999,0.80585,0.50469,0.58158,0.81999,0.00249375,0.00249375,0.00249375
17,320.565,0.65337,0.64415,0.86686,0.90411,0.89086,0.9506,0.82819,0.49004,0.53493,0.81555,0.00246,0.00246,0.00246
18,339.023,0.63664,0.60931,0.8602,0.92999,0.91101,0.95618,0.83796,0.47378,0.47889,0.81693,0.00242625,0.00242625,0.00242625
19,357.408,0.6139,0.58281,0.85929,0.93279,0.91364,0.95032,0.83582,0.47693,0.50794,0.81958,0.0023925,0.0023925,0.0023925
20,375.894,0.62292,0.5983,0.85887,0.92418,0.90923,0.95687,0.83254,0.50896,0.5146,0.81538,0.00235875,0.00235875,0.00235875
21,394.427,0.61352,0.578,0.85602,0.91822,0.90377,0.95841,0.83899,0.47122,0.49927,0.81067,0.002325,0.002325,0.002325
22,412.948,0.58934,0.5524,0.85321,0.93091,0.92528,0.95435,0.85192,0.44263,0.47364,0.80856,0.00229125,0.00229125,0.00229125
23,431.357,0.59515,0.57252,0.85437,0.9486,0.9235,0.9675,0.85647,0.45501,0.44721,0.80879,0.0022575,0.0022575,0.0022575
24,449.787,0.57903,0.55262,0.84531,0.91868,0.90885,0.9431,0.83738,0.44215,0.48035,0.80614,0.00222375,0.00222375,0.00222375
