epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1146,1.23999,1.53929,1.13093,0.72018,0.41733,0.28528,0.19294,nan,nan,nan,0.00331492,0.00331492,0.0701657
2,66.1202,1.11531,1.15022,1.07951,0.59823,0.43335,0.52087,0.37068,1.12133,2.1778,1.12569,0.00620947,0.00620947,0.039727
3,85.684,1.05064,1.03005,1.05072,0.63281,0.67867,0.70006,0.52588,0.89038,1.28456,1.0125,0.00866401,0.00866401,0.00884818
4,104.791,0.95402,0.96944,1.01583,0.7331,0.76218,0.80896,0.62409,0.79317,0.88324,0.97123,0.00802,0.00802,0.00802
5,124.122,0.91533,0.87603,0.98441,0.76986,0.82979,0.85865,0.66059,0.79904,0.76292,0.97294,0.00736,0.00736,0.00736
6,148.469,0.85433,0.84849,0.9952,0.69173,0.80381,0.79478,0.62345,0.77402,1.43297,0.97227,0.0067,0.0067,0.0067
7,167.363,0.8474,0.81577,0.98986,0.81226,0.79152,0.86484,0.65063,0.84277,0.77091,0.98904,0.00604,0.00604,0.00604
8,186.447,0.78721,0.75874,0.96305,0.80953,0.8393,0.895,0.71082,0.70806,0.68502,0.94008,0.00538,0.00538,0.00538
9,205.546,0.73534,0.73073,0.94624,0.75417,0.80802,0.87927,0.69147,0.72039,0.72889,0.94354,0.00472,0.00472,0.00472
10,224.582,0.70205,0.68611,0.93103,0.87699,0.8919,0.92118,0.75722,0.62873,0.59324,0.91401,0.00406,0.00406,0.00406
11,243.737,0.68604,0.63651,0.91972,0.88626,0.8858,0.9327,0.75449,0.6595,0.55988,0.92682,0.0034,0.0034,0.0034
12,262.972,0.65186,0.6112,0.91896,0.85552,0.82236,0.90349,0.74084,0.61886,0.64739,0.91349,0.00274,0.00274,0.00274
13,282.303,0.6205,0.56823,0.90516,0.87723,0.89558,0.94167,0.81065,0.5271,0.51231,0.88534,0.00208,0.00208,0.00208
14,301.79,0.5727,0.52972,0.88777,0.92933,0.88546,0.96005,0.83755,0.49745,0.46113,0.87785,0.00142,0.00142,0.00142
15,320.977,0.55174,0.50246,0.88309,0.9248,0.90804,0.95799,0.84505,0.47908,0.44256,0.87395,0.00076,0.00076,0.00076
