epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8271,1.08449,2.31099,1.10461,0.68077,0.82646,0.80933,0.64996,0.65518,0.89807,0.90271,0.000274615,0.000274615,0.000274615
2,70.9766,0.72649,1.02891,0.95844,0.80596,0.87537,0.90124,0.74493,0.58939,0.68737,0.87046,0.000548637,0.000548637,0.000548637
3,105.381,0.68998,0.84598,0.93677,0.86827,0.87954,0.91544,0.76643,0.55493,0.65743,0.86411,0.000818993,0.000818993,0.000818993
4,139.77,0.62727,0.76099,0.9171,0.88798,0.87491,0.9289,0.794,0.50402,0.60132,0.84668,0.000816507,0.000816507,0.000816507
5,174.089,0.59095,0.67391,0.90382,0.88243,0.91843,0.94683,0.81376,0.50676,0.55199,0.84101,0.000811009,0.000811009,0.000811009
6,208.38,0.55929,0.62863,0.88937,0.90886,0.91986,0.95553,0.83372,0.4672,0.51423,0.83418,0.000805511,0.000805511,0.000805511
7,242.742,0.52338,0.55794,0.87732,0.93459,0.92761,0.96513,0.86003,0.43866,0.46466,0.82274,0.000800013,0.000800013,0.000800013
8,277.277,0.52287,0.54233,0.87866,0.91851,0.92567,0.95421,0.83726,0.44984,0.47705,0.82709,0.000794515,0.000794515,0.000794515
9,311.366,0.48655,0.51916,0.86711,0.95354,0.93888,0.96737,0.87374,0.38633,0.4089,0.81035,0.000789018,0.000789018,0.000789018
10,345.681,0.48552,0.51282,0.86597,0.91898,0.93386,0.95779,0.86995,0.38532,0.44703,0.80925,0.00078352,0.00078352,0.00078352
11,379.945,0.46776,0.49316,0.85539,0.93303,0.93221,0.95809,0.86724,0.39289,0.43998,0.80913,0.000778022,0.000778022,0.000778022
12,414.287,0.44747,0.46002,0.85232,0.94573,0.95023,0.97611,0.88623,0.39756,0.39295,0.81302,0.000772524,0.000772524,0.000772524
13,449.794,0.45725,0.46241,0.85264,0.95389,0.93581,0.97177,0.88897,0.37993,0.38563,0.80891,0.000767026,0.000767026,0.000767026
14,484.172,0.43111,0.4444,0.84519,0.93492,0.94616,0.97287,0.89256,0.37306,0.39274,0.80812,0.000761529,0.000761529,0.000761529
15,518.147,0.42879,0.45646,0.84231,0.93949,0.93343,0.97184,0.89053,0.37112,0.40002,0.80818,0.000756031,0.000756031,0.000756031
16,552.343,0.42212,0.43366,0.84188,0.94324,0.94393,0.96865,0.88641,0.3687,0.40644,0.80546,0.000750533,0.000750533,0.000750533
