epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.1704,0.97526,2.22523,1.08871,0.75187,0.86207,0.88141,0.72195,0.59633,0.74648,0.9178,0.000276133,0.000276133,0.000276133
2,111.915,0.69874,0.96344,0.96168,0.8175,0.84074,0.8779,0.73777,0.54249,0.77954,0.89868,0.000551972,0.000551972,0.000551972
3,165.778,0.63712,0.7842,0.92065,0.89194,0.88906,0.95213,0.81503,0.51712,0.53923,0.88951,0.000825978,0.000825978,0.000825978
4,220.141,0.60702,0.71796,0.91645,0.87962,0.88635,0.94397,0.81378,0.48096,0.54684,0.88391,0.000824753,0.000824753,0.000824753
5,274.37,0.57153,0.64872,0.90003,0.90505,0.89388,0.94443,0.83284,0.45183,0.50564,0.87617,0.000822004,0.000822004,0.000822004
6,332.638,0.52386,0.57582,0.89235,0.89943,0.91725,0.9597,0.86098,0.39912,0.4599,0.85987,0.000819255,0.000819255,0.000819255
7,386.658,0.50593,0.56861,0.89152,0.91094,0.91751,0.95543,0.85001,0.44062,0.44545,0.86944,0.000816507,0.000816507,0.000816507
8,440.561,0.50536,0.53438,0.88783,0.93745,0.93442,0.95894,0.86405,0.40582,0.40353,0.85992,0.000813758,0.000813758,0.000813758
9,495.301,0.45971,0.47701,0.87205,0.94389,0.9382,0.96569,0.88291,0.36529,0.36382,0.85161,0.000811009,0.000811009,0.000811009
10,550.883,0.46679,0.48343,0.87387,0.91485,0.93754,0.95339,0.869,0.38488,0.42081,0.85298,0.00080826,0.00080826,0.00080826
11,605.508,0.45393,0.4818,0.87177,0.91441,0.94074,0.94051,0.85738,0.38312,0.45306,0.85376,0.000805511,0.000805511,0.000805511
12,659.86,0.43625,0.48903,0.86325,0.92875,0.91791,0.95486,0.88051,0.34583,0.43425,0.84264,0.000802762,0.000802762,0.000802762
13,713.345,0.42407,0.45962,0.85879,0.9336,0.94261,0.96231,0.88412,0.36991,0.37018,0.85068,0.000800013,0.000800013,0.000800013
14,768.114,0.41095,0.42857,0.85354,0.9589,0.94042,0.9754,0.90565,0.33965,0.33498,0.84097,0.000797264,0.000797264,0.000797264
15,821.346,0.41071,0.43974,0.85373,0.9553,0.95259,0.97721,0.90178,0.34041,0.34025,0.84475,0.000794515,0.000794515,0.000794515
16,875.05,0.40052,0.41703,0.84958,0.95273,0.96716,0.97445,0.91308,0.32006,0.30434,0.83556,0.000791767,0.000791767,0.000791767
17,928.519,0.39936,0.39424,0.84676,0.95586,0.94703,0.97374,0.90379,0.3431,0.32324,0.84354,0.000789018,0.000789018,0.000789018
18,982.146,0.38507,0.39356,0.8407,0.93656,0.94635,0.97273,0.90912,0.31712,0.33865,0.83777,0.000786269,0.000786269,0.000786269
19,1035.9,0.3722,0.3652,0.84248,0.95106,0.95479,0.97631,0.91362,0.31631,0.3051,0.83994,0.00078352,0.00078352,0.00078352
20,1091.93,0.37278,0.3944,0.8409,0.94275,0.93722,0.97237,0.91048,0.31929,0.34325,0.83789,0.000780771,0.000780771,0.000780771
