epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.862,1.04608,2.01574,1.04716,0.76211,0.83375,0.85273,0.67355,0.65853,0.7746,0.86715,0.000274615,0.000274615,0.000274615
2,98.7486,0.72124,0.91586,0.92676,0.85463,0.81514,0.89193,0.71647,0.64465,0.68743,0.85848,0.000548637,0.000548637,0.000548637
3,134.348,0.67921,0.77163,0.90712,0.8905,0.87988,0.93486,0.79509,0.53524,0.59122,0.82892,0.000818993,0.000818993,0.000818993
4,170.765,0.6281,0.69283,0.89705,0.89334,0.86278,0.91462,0.77857,0.52011,0.5919,0.82373,0.000816507,0.000816507,0.000816507
5,207.288,0.60024,0.63518,0.88813,0.89979,0.89569,0.94586,0.81258,0.5065,0.5065,0.82172,0.000811009,0.000811009,0.000811009
6,244.026,0.57465,0.61727,0.88105,0.86314,0.92305,0.94282,0.81126,0.49737,0.55029,0.82191,0.000805511,0.000805511,0.000805511
7,280.696,0.54278,0.55659,0.87513,0.92725,0.92308,0.96109,0.85615,0.44371,0.45291,0.80644,0.000800013,0.000800013,0.000800013
8,317.344,0.52206,0.51886,0.8686,0.93625,0.91153,0.95918,0.85967,0.43576,0.44502,0.80564,0.000794515,0.000794515,0.000794515
9,353.757,0.49864,0.51043,0.864,0.93842,0.9175,0.958,0.85667,0.43649,0.42656,0.80442,0.000789018,0.000789018,0.000789018
10,390.328,0.4988,0.50737,0.86091,0.93317,0.91759,0.9527,0.86182,0.40287,0.46991,0.7989,0.00078352,0.00078352,0.00078352
11,426.722,0.47155,0.46939,0.84758,0.93888,0.94584,0.96591,0.88002,0.40608,0.40262,0.79996,0.000778022,0.000778022,0.000778022
12,463.372,0.4666,0.47234,0.84892,0.92048,0.89481,0.94881,0.85003,0.43771,0.48117,0.80632,0.000772524,0.000772524,0.000772524
13,500.124,0.46553,0.46308,0.84678,0.94417,0.94306,0.97545,0.89291,0.39212,0.3767,0.79998,0.000767026,0.000767026,0.000767026
14,536.663,0.4398,0.44322,0.84228,0.92682,0.91207,0.94857,0.87354,0.37674,0.47526,0.80281,0.000761529,0.000761529,0.000761529
15,573.31,0.43967,0.44226,0.84073,0.9427,0.93493,0.97554,0.89463,0.37848,0.3932,0.79721,0.000756031,0.000756031,0.000756031
16,609.971,0.43629,0.45309,0.84017,0.94062,0.93835,0.96219,0.86387,0.43474,0.43074,0.8112,0.000750533,0.000750533,0.000750533
17,646.619,0.4264,0.4208,0.83361,0.94143,0.97014,0.97926,0.91165,0.3532,0.3439,0.78663,0.000745035,0.000745035,0.000745035
18,683.266,0.40895,0.4003,0.83432,0.94012,0.92272,0.96626,0.90356,0.34441,0.40389,0.786,0.000739537,0.000739537,0.000739537
19,719.794,0.40166,0.40243,0.83158,0.94047,0.95348,0.97817,0.91827,0.3442,0.36299,0.78636,0.00073404,0.00073404,0.00073404
20,756.415,0.39361,0.3912,0.83255,0.94472,0.93963,0.97471,0.90243,0.36205,0.37919,0.78929,0.000728542,0.000728542,0.000728542
21,793.284,0.39074,0.38447,0.83138,0.93942,0.94434,0.97748,0.91925,0.33554,0.36785,0.78583,0.000723044,0.000723044,0.000723044
22,829.904,0.3934,0.38529,0.83199,0.9533,0.93774,0.9753,0.92054,0.31756,0.35148,0.78213,0.000717546,0.000717546,0.000717546
23,866.206,0.38062,0.37872,0.82627,0.96414,0.95086,0.98469,0.93273,0.31995,0.31772,0.78564,0.000712048,0.000712048,0.000712048
24,903.405,0.38619,0.37681,0.8267,0.95723,0.96365,0.97998,0.9211,0.3313,0.32029,0.78757,0.000706551,0.000706551,0.000706551
25,940.294,0.37023,0.3669,0.82204,0.94717,0.95333,0.98182,0.92328,0.32053,0.33741,0.78446,0.000701053,0.000701053,0.000701053
26,977.109,0.36146,0.36559,0.81656,0.95249,0.94415,0.97903,0.92792,0.31714,0.3302,0.78363,0.000695555,0.000695555,0.000695555
27,1013.8,0.36507,0.36845,0.82603,0.94072,0.95858,0.97739,0.91687,0.34084,0.33899,0.7892,0.000690057,0.000690057,0.000690057
28,1050.53,0.37138,0.36832,0.82246,0.95592,0.95471,0.98112,0.92588,0.31632,0.31203,0.78365,0.000684559,0.000684559,0.000684559
29,1087.57,0.35929,0.35876,0.82445,0.93944,0.9627,0.98118,0.93167,0.29656,0.33507,0.78069,0.000679062,0.000679062,0.000679062
30,1124.1,0.34975,0.34894,0.81903,0.96866,0.94965,0.98084,0.93462,0.29573,0.32157,0.77893,0.000673564,0.000673564,0.000673564
31,1160.98,0.34631,0.33438,0.81647,0.96198,0.95222,0.97842,0.93294,0.28925,0.31409,0.78114,0.000668066,0.000668066,0.000668066
32,1197.74,0.34055,0.32894,0.81719,0.96819,0.95596,0.98177,0.93522,0.29739,0.29814,0.77887,0.000662568,0.000662568,0.000662568
33,1234.35,0.33961,0.33831,0.81506,0.95238,0.9471,0.97639,0.93434,0.29647,0.3247,0.77782,0.00065707,0.00065707,0.00065707
34,1269.86,0.33762,0.33025,0.81546,0.95291,0.9619,0.9818,0.93672,0.29749,0.30687,0.77889,0.000651573,0.000651573,0.000651573
35,1304.69,0.33323,0.32204,0.81562,0.96363,0.95023,0.98134,0.94047,0.27532,0.29746,0.77263,0.000646075,0.000646075,0.000646075
36,1340.35,0.33401,0.31755,0.81317,0.95986,0.96492,0.98262,0.94453,0.28531,0.29446,0.77559,0.000640577,0.000640577,0.000640577
37,1375.24,0.3306,0.31689,0.81552,0.96236,0.95796,0.9828,0.93959,0.28137,0.30005,0.7774,0.000635079,0.000635079,0.000635079
38,1410.21,0.33672,0.32558,0.81643,0.95715,0.96251,0.98373,0.94191,0.28903,0.314,0.7738,0.000629581,0.000629581,0.000629581
39,1445.22,0.32162,0.30508,0.80981,0.96171,0.95635,0.98357,0.93609,0.2914,0.29734,0.77856,0.000624084,0.000624084,0.000624084
40,1480.05,0.31888,0.31173,0.81355,0.95232,0.95755,0.97985,0.93728,0.27175,0.31611,0.77727,0.000618586,0.000618586,0.000618586
41,1514.87,0.30926,0.30526,0.80844,0.95776,0.96828,0.98657,0.94222,0.28244,0.28325,0.77431,0.000613088,0.000613088,0.000613088
42,1549.76,0.31293,0.30551,0.81074,0.9575,0.95909,0.98356,0.94043,0.27873,0.29609,0.77521,0.00060759,0.00060759,0.00060759
43,1584.76,0.31703,0.30122,0.8107,0.9658,0.9624,0.98139,0.94381,0.26635,0.29084,0.77425,0.000602092,0.000602092,0.000602092
44,1619.64,0.31498,0.30305,0.80889,0.96746,0.95728,0.98312,0.94665,0.25864,0.29266,0.77136,0.000596595,0.000596595,0.000596595
45,1654.56,0.30894,0.29699,0.80813,0.96039,0.95534,0.98139,0.93836,0.28211,0.30079,0.77863,0.000591097,0.000591097,0.000591097
46,1689.52,0.30845,0.29422,0.80515,0.97214,0.97039,0.98689,0.95084,0.25705,0.26607,0.77008,0.000585599,0.000585599,0.000585599
47,1724.43,0.30303,0.28682,0.80381,0.96389,0.96049,0.9846,0.94493,0.26844,0.2789,0.77417,0.000580101,0.000580101,0.000580101
48,1759.37,0.3031,0.2886,0.80998,0.96648,0.95506,0.98303,0.94659,0.27427,0.28321,0.77186,0.000574603,0.000574603,0.000574603
49,1794.23,0.30618,0.29814,0.81044,0.96474,0.94654,0.97829,0.94163,0.26661,0.29637,0.77208,0.000569106,0.000569106,0.000569106
50,1829.11,0.29845,0.28736,0.80786,0.95215,0.97372,0.98276,0.94241,0.27193,0.2907,0.78029,0.000563608,0.000563608,0.000563608
51,1863.98,0.30446,0.29383,0.81017,0.97315,0.96667,0.98504,0.94825,0.26046,0.26002,0.77099,0.00055811,0.00055811,0.00055811
52,1898.94,0.3001,0.29006,0.81135,0.95645,0.96026,0.98236,0.94568,0.26268,0.28749,0.77237,0.000552612,0.000552612,0.000552612
53,1933.89,0.28936,0.28139,0.80474,0.97041,0.95705,0.98149,0.94561,0.2568,0.27937,0.77269,0.000547114,0.000547114,0.000547114
54,1968.71,0.29264,0.27425,0.81153,0.96375,0.96381,0.98735,0.95135,0.26132,0.27207,0.7749,0.000541617,0.000541617,0.000541617
55,2003.58,0.29868,0.28428,0.80998,0.9718,0.96322,0.98511,0.95073,0.2582,0.27377,0.77312,0.000536119,0.000536119,0.000536119
56,2038.42,0.28647,0.27132,0.80591,0.96254,0.96905,0.98647,0.95274,0.25614,0.27246,0.77162,0.000530621,0.000530621,0.000530621
57,2073.4,0.28555,0.26125,0.80714,0.9611,0.96492,0.98148,0.94995,0.25302,0.29018,0.77062,0.000525123,0.000525123,0.000525123
58,2108.41,0.27968,0.26341,0.79843,0.96419,0.95464,0.98243,0.94722,0.25559,0.29103,0.77264,0.000519625,0.000519625,0.000519625
59,2145.06,0.26703,0.25602,0.79947,0.97703,0.96987,0.98436,0.95253,0.2446,0.2542,0.76891,0.000514128,0.000514128,0.000514128
