epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.326,0.94593,1.80847,1.08018,0.79833,0.7953,0.88827,0.75313,0.51323,0.78486,0.86331,0.000274615,0.000274615,0.000274615
2,455.144,0.6265,0.82981,0.92636,0.86999,0.89722,0.92631,0.78788,0.52939,0.60727,0.88664,0.000548657,0.000548657,0.000548657
3,582.171,0.57845,0.71096,0.90666,0.85539,0.91139,0.93119,0.81824,0.45626,0.5686,0.86101,0.000819054,0.000819054,0.000819054
4,710.325,0.57104,0.69285,0.92717,0.86387,0.89154,0.9289,0.81202,0.46618,0.59662,0.89235,0.000816598,0.000816598,0.000816598
5,872.271,0.52948,0.58807,0.90133,0.87922,0.90047,0.92806,0.82849,0.43233,0.53097,0.87745,0.000811131,0.000811131,0.000811131
6,1022.95,0.48804,0.54405,0.89013,0.90588,0.91079,0.9554,0.86084,0.409,0.45983,0.86224,0.000805664,0.000805664,0.000805664
7,1206.23,0.47921,0.5029,0.88835,0.9357,0.92324,0.96399,0.87127,0.40475,0.41039,0.87586,0.000800196,0.000800196,0.000800196
8,1354.35,0.46263,0.49429,0.88694,0.90274,0.904,0.94534,0.85452,0.39169,0.46858,0.85954,0.000794729,0.000794729,0.000794729
9,1659.72,0.45278,0.44859,0.88341,0.89816,0.93648,0.96713,0.89155,0.37029,0.40553,0.86178,0.000789262,0.000789262,0.000789262
10,1803.75,0.43887,0.46685,0.88126,0.92763,0.91294,0.97118,0.88348,0.38388,0.43093,0.8728,0.000783795,0.000783795,0.000783795
11,1944.45,0.42196,0.43334,0.87367,0.95065,0.95234,0.97592,0.90696,0.34946,0.33791,0.85033,0.000778327,0.000778327,0.000778327
12,2080.04,0.4094,0.39272,0.86864,0.93682,0.93361,0.96406,0.89907,0.32601,0.36155,0.8431,0.00077286,0.00077286,0.00077286
13,2233.05,0.40875,0.39855,0.86705,0.95001,0.93969,0.97256,0.9008,0.3596,0.36157,0.85304,0.000767393,0.000767393,0.000767393
14,2400.86,0.38907,0.3732,0.85638,0.96286,0.95964,0.97869,0.91661,0.34138,0.30946,0.8505,0.000761926,0.000761926,0.000761926
15,2554.13,0.38633,0.37911,0.86495,0.92841,0.91334,0.96695,0.88838,0.36695,0.41515,0.86686,0.000756458,0.000756458,0.000756458
16,2692.97,0.36701,0.3706,0.85207,0.9567,0.94952,0.97776,0.92007,0.31473,0.31178,0.83748,0.000750991,0.000750991,0.000750991
17,2907.69,0.37952,0.37402,0.85399,0.96184,0.9631,0.98441,0.91977,0.33496,0.29973,0.84664,0.000745524,0.000745524,0.000745524
18,3087.29,0.36697,0.34989,0.84908,0.95328,0.94466,0.97762,0.91425,0.32184,0.31994,0.84387,0.000740057,0.000740057,0.000740057
