epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0412,1.08927,2.23897,1.1153,0.6878,0.8444,0.85909,0.67944,0.65011,0.91876,0.89889,0.000274615,0.000274615,0.000274615
2,71.8322,0.72332,0.97099,0.95212,0.81967,0.85258,0.91741,0.76292,0.57746,0.70657,0.8688,0.000548657,0.000548657,0.000548657
3,107.995,0.6517,0.79184,0.9182,0.86295,0.88558,0.95095,0.79704,0.55607,0.59331,0.85929,0.000819054,0.000819054,0.000819054
4,144.307,0.63699,0.73569,0.91813,0.86142,0.91928,0.95509,0.81486,0.50816,0.57376,0.83994,0.000816598,0.000816598,0.000816598
5,180.05,0.58336,0.61986,0.88882,0.8672,0.93868,0.96175,0.83044,0.51816,0.53354,0.83797,0.000811131,0.000811131,0.000811131
6,215.078,0.54675,0.57245,0.87701,0.91263,0.91808,0.95565,0.83323,0.47726,0.49057,0.82803,0.000805664,0.000805664,0.000805664
7,250.151,0.53832,0.53832,0.87247,0.89192,0.92182,0.94926,0.83475,0.46354,0.49372,0.82302,0.000800196,0.000800196,0.000800196
8,286.437,0.51345,0.54964,0.87035,0.89095,0.9298,0.95751,0.85899,0.43138,0.48867,0.81299,0.000794729,0.000794729,0.000794729
9,321.66,0.4894,0.5116,0.86771,0.92332,0.93643,0.96751,0.8753,0.39771,0.4211,0.80373,0.000789262,0.000789262,0.000789262
10,356.779,0.4745,0.50021,0.85335,0.89468,0.91939,0.95696,0.85342,0.40597,0.50124,0.80887,0.000783795,0.000783795,0.000783795
11,392.113,0.46877,0.46522,0.85287,0.94001,0.93838,0.96651,0.88403,0.37687,0.39952,0.797,0.000778327,0.000778327,0.000778327
12,427.574,0.45039,0.43374,0.84895,0.93587,0.9465,0.96206,0.8852,0.3586,0.39342,0.79709,0.00077286,0.00077286,0.00077286
13,463.076,0.44385,0.43486,0.84584,0.95213,0.94811,0.9765,0.90027,0.36153,0.37643,0.79345,0.000767393,0.000767393,0.000767393
14,498.974,0.42766,0.4104,0.84127,0.95949,0.95813,0.97582,0.89812,0.37043,0.35427,0.80119,0.000761926,0.000761926,0.000761926
15,534.425,0.42614,0.41712,0.84195,0.94114,0.95817,0.98193,0.90879,0.36743,0.36534,0.79371,0.000756458,0.000756458,0.000756458
16,569.921,0.41096,0.42036,0.83786,0.957,0.95792,0.98164,0.9097,0.35924,0.34343,0.79152,0.000750991,0.000750991,0.000750991
17,604.789,0.42278,0.41648,0.83941,0.94157,0.94945,0.97342,0.89326,0.36171,0.37602,0.79666,0.000745524,0.000745524,0.000745524
18,639.816,0.40621,0.39972,0.83533,0.94618,0.94593,0.97321,0.89611,0.36952,0.3623,0.79765,0.000740057,0.000740057,0.000740057
